,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,FRANJA_H,TIPO_DE_CALLE,COMUNA,POS_X,POS_Y,VICTIMA,ACUSADO,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,DIA_SEMANA
106,2016-0135,1,2016-10-24,2016,10,24,05:00:00,5,AVENIDA,14,-58.42260225,-34.56403694,PEATON,SD,PEATON,MASCULINO,29,2016-10-25 00:00:00,Lunes
107,2016-0136,1,2016-10-25,2016,10,25,00:00:00,0,AUTOPISTA,4,.,.,MOTO,CARGAS,CONDUCTOR,SD,SD,SD,Martes
108,2016-0137,1,2016-10-25,2016,10,25,00:39:00,0,AVENIDA,11,-58.51537091,-34.59035925,MOTO,MOTO,CONDUCTOR,MASCULINO,30,SD,Martes
109,2016-0138,1,2016-10-27,2016,10,27,20:30:00,20,AVENIDA,13,-58.45909670,-34.55922742,BICICLETA,CARGAS,CICLISTA,FEMENINO,33,SD,Jueves
110,2016-0139,1,2016-10-28,2016,10,28,23:00:00,23,AVENIDA,14,-58.42008769,-34.56539579,MOTO,MOTO,PASAJERO_ACOMPAÑANTE,FEMENINO,35,SD,Viernes
111,2016-0140,1,2016-10-31,2016,10,31,02:58:00,2,AVENIDA,13,-58.45566399,-34.56147293,PASAJEROS,PASAJEROS,PASAJERO_ACOMPAÑANTE,MASCULINO,20,SD,Lunes
112,2016-0142,1,2016-11-05,2016,11,5,23:30:00,23,AVENIDA,1,-58.37533517,-34.59276462,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,46,2016-11-05 00:00:00,Sábado
113,2016-0143,1,2016-11-06,2016,11,6,04:41:00,4,AVENIDA,8,-58.44451316,-34.68475866,MOTO,SD,CONDUCTOR,MASCULINO,35,SD,Domingo
114,2016-0144,1,2016-11-07,2016,11,7,12:10:00,12,AVENIDA,4,-58.35975012,-34.63343907,PEATON,PASAJEROS,PEATON,MASCULINO,83,SD,Lunes
115,2016-0145,1,2016-11-07,2016,11,7,20:56:00,20,AVENIDA,13,-58.44523595,-34.55953855,MOTO,AUTO,CONDUCTOR,MASCULINO,39,2016-11-07 00:00:00,Lunes
116,2016-0146,1,2016-11-09,2016,11,9,20:00:00,20,AVENIDA,4,-58.39626094,-34.63036565,PEATON,PASAJEROS,PEATON,FEMENINO,29,SD,Miércoles
117,2016-0147,1,2016-11-16,2016,11,16,21:15:00,21,AVENIDA,1,-58.38896772,-34.61799615,MOVIL,PASAJEROS,PASAJERO_ACOMPAÑANTE,MASCULINO,55,2016-11-16 00:00:00,Miércoles
118,2016-0148,1,2016-11-16,2016,11,16,22:20:00,22,AVENIDA,15,-58.46536113,-34.59484504,MOTO,MOTO,CONDUCTOR,MASCULINO,SD,SD,Miércoles
119,2016-0150,1,2016-11-18,2016,11,18,18:20:00,18,AVENIDA,4,-58.40879146,-34.65273216,CARGAS,CARGAS,PASAJERO_ACOMPAÑANTE,MASCULINO,41,2016-11-18 00:00:00,Viernes
120,2016-0151,1,2016-11-18,2016,11,18,20:35:00,20,CALLE,0,.,.,PEATON,SD,PEATON,SD,SD,SD,Viernes
